fishId,fishNo,balance_before,balance_after,difference,elapsed_seconds
3,1,1630099.68,1629999.68,-100.00,0
4,1,1629999.68,1629999.68,0.00,1
6,1,1629999.68,1629999.68,0.00,1
8,1,1629999.68,1629999.68,0.00,2
9,1,1629999.68,1629699.68,-300.00,2
10,1,1629699.68,1629699.68,0.00,3
12,1,1629699.68,1629699.68,0.00,3
16,1,1629699.68,1629699.68,0.00,4
17,1,1629699.68,1629699.68,0.00,4
18,1,1629699.68,1629199.68,-500.00,5
19,1,1629199.68,1629199.68,0.00,6
20,1,1629199.68,1629199.68,0.00,6
22,1,1629199.68,1629299.68,100.00,7
23,1,1629299.68,1629299.68,0.00,7
26,1,1629299.68,1629299.68,0.00,8
27,1,1629299.68,1629299.68,0.00,8
28,1,1629299.68,1628899.68,-400.00,9
29,1,1628899.68,1628899.68,0.00,9
30,1,1628899.68,1628899.68,0.00,10
31,1,1628899.68,1628899.68,0.00,10
33,1,1628899.68,1628499.68,-400.00,11
34,1,1628499.68,1628499.68,0.00,11
35,1,1628499.68,1628499.68,0.00,12
36,1,1628499.68,1628499.68,0.00,13
38,1,1628499.68,1628499.68,0.00,13
40,1,1628499.68,1628499.68,0.00,14
41,1,1628499.68,1628499.68,0.00,14
42,1,1628499.68,1628499.68,0.00,15
43,1,1628599.68,1628599.68,0.00,15
44,1,1628599.68,1628599.68,0.00,16
45,1,1628599.68,1628599.68,0.00,16
60,1,1628599.68,1628599.68,0.00,17
67,1,1628599.68,1629099.68,500.00,17
71,1,1629099.68,1629099.68,0.00,18
72,1,1629099.68,1629099.68,0.00,18
73,1,1629099.68,1629099.68,0.00,19
74,1,1629099.68,1629299.68,200.00,20
75,1,1629299.68,1629299.68,0.00,20
79,1,1629299.68,1629299.68,0.00,21
84,1,1629299.68,1629299.68,0.00,21
91,1,1629299.68,1629299.68,0.00,22
94,1,1629299.68,1629199.68,-100.00,22
97,1,1629199.68,1629199.68,0.00,23
98,1,1629199.68,1629199.68,0.00,23
109,1,1629199.68,1629199.68,0.00,24
112,1,1629199.68,1629199.68,0.00,25
116,1,1629199.68,1629599.68,400.00,25
122,1,1629599.68,1629599.68,0.00,26
131,1,1629599.68,1629599.68,0.00,26
137,1,1629599.68,1629599.68,0.00,27
149,1,1629599.68,1629599.68,0.00,27
150,1,1629399.68,1629399.68,0.00,28
151,1,1629399.68,1629399.68,0.00,28
152,1,1629399.68,1629199.68,-200.00,29
153,1,1629199.68,1629199.68,0.00,30
155,1,1629199.68,1629199.68,0.00,31
157,1,1629199.68,1629199.68,0.00,31
158,1,1629599.68,1629599.68,0.00,32
159,1,1629599.68,1629599.68,0.00,32
164,1,1629599.68,1629599.68,0.00,33
171,1,1629599.68,1629599.68,0.00,33
177,1,1629199.68,1629199.68,0.00,34
178,1,1629199.68,1629199.68,0.00,35
179,1,1629199.68,1628999.68,-200.00,35
187,1,1628999.68,1628999.68,0.00,36
188,1,1628999.68,1628999.68,0.00,36
198,1,1628999.68,1628999.68,0.00,37
213,1,1628999.68,1629499.68,500.00,37
217,1,1629499.68,1629499.68,0.00,38
218,1,1629499.68,1629499.68,0.00,38
221,1,1629499.68,1629499.68,0.00,39
235,1,1629699.68,1629699.68,0.00,39
236,1,1629699.68,1629699.68,0.00,40
237,1,1629699.68,1629699.68,0.00,41
238,1,1629699.68,1629699.68,0.00,41
239,1,1629699.68,1629699.68,0.00,42
240,1,1629699.68,1629699.68,0.00,42
247,1,1629699.68,1629699.68,0.00,43
248,1,1629699.68,1629399.68,-300.00,43
250,1,1629399.68,1629399.68,0.00,44
251,1,1629399.68,1629499.68,100.00,44
252,1,1629499.68,1629499.68,0.00,45
253,1,1629499.68,1629299.68,-200.00,45
259,1,1629299.68,1629299.68,0.00,46
260,1,1629299.68,1629299.68,0.00,47
261,1,1629299.68,1629099.68,-200.00,47
262,1,1629099.68,1629099.68,0.00,48
263,1,1629099.68,1629099.68,0.00,48
267,1,1629099.68,1629099.68,0.00,49
269,1,1629499.68,1629499.68,0.00,49
270,1,1629499.68,1629499.68,0.00,50
271,1,1629499.68,1629499.68,0.00,50
272,1,1629499.68,1629099.68,-400.00,51
273,1,1629099.68,1629099.68,0.00,51
279,1,1629099.68,1629099.68,0.00,52
280,1,1629099.68,1629099.68,0.00,53
281,1,1629099.68,1629799.68,700.00,53
282,1,1629799.68,1629799.68,0.00,54
283,1,1629799.68,1629799.68,0.00,55
284,1,1629799.68,1629799.68,0.00,56
286,1,1629799.68,1630299.68,500.00,56
293,1,1630299.68,1630299.68,0.00,57
294,1,1630299.68,1630299.68,0.00,57
296,1,1630299.68,1630299.68,0.00,58
303,1,1630299.68,1630299.68,0.00,58
304,1,1630499.68,1630499.68,0.00,59
305,1,1630499.68,1630499.68,0.00,59
306,1,1630499.68,1630299.68,-200.00,60
308,1,1630299.68,1630299.68,0.00,60
309,1,1630499.68,1630499.68,0.00,61
311,1,1630499.68,1630499.68,0.00,62
312,1,1630499.68,1630499.68,0.00,62
314,1,1630499.68,1630499.68,0.00,63
315,1,1630499.68,1630499.68,0.00,63
316,1,1630499.68,1629999.68,-500.00,64
317,1,1629999.68,1629999.68,0.00,64
318,1,1629999.68,1629999.68,0.00,65
319,1,1629999.68,1629999.68,0.00,65
320,1,1629999.68,1629999.68,0.00,66
326,1,1629999.68,1629799.68,-200.00,67
328,1,1629799.68,1629799.68,0.00,67
330,1,1629799.68,1629799.68,0.00,68
345,1,1629799.68,1629799.68,0.00,68
351,1,1629799.68,1629799.68,0.00,69
353,1,1629499.68,1629499.68,0.00,69
354,1,1629499.68,1629499.68,0.00,70
355,1,1629499.68,1629499.68,0.00,70
358,1,1629499.68,1629499.68,0.00,71
360,1,1629499.68,1629499.68,0.00,71
362,1,1629499.68,1629499.68,0.00,72
367,1,1629499.68,1629499.68,0.00,73
368,1,1629499.68,1629499.68,0.00,73
369,1,1629499.68,1629499.68,0.00,74
370,1,1629499.68,1629499.68,0.00,74
372,1,1629499.68,1629499.68,0.00,75
375,1,1629199.68,1629199.68,0.00,75
376,1,1629199.68,1629199.68,0.00,76
379,1,1629199.68,1629199.68,0.00,76
381,1,1629199.68,1629299.68,100.00,77
382,1,1629299.68,1629299.68,0.00,78
395,1,1629299.68,1629299.68,0.00,78
398,1,1629299.68,1629299.68,0.00,79
399,1,1629299.68,1629299.68,0.00,79
401,1,1629299.68,1629299.68,0.00,80
404,1,1629299.68,1629299.68,0.00,80
409,1,1629299.68,1629299.68,0.00,81
413,1,1629199.68,1629199.68,0.00,81
414,1,1629199.68,1628999.68,-200.00,82
417,1,1628999.68,1628999.68,0.00,82
418,1,1628999.68,1628999.68,0.00,83
423,1,1628699.68,1628699.68,0.00,84
430,1,1628699.68,1628699.68,0.00,84
433,1,1628699.68,1628699.68,0.00,85
434,1,1629599.68,1629599.68,0.00,85
435,1,1629599.68,1629599.68,0.00,86
436,1,1629599.68,1629599.68,0.00,86
437,1,1629599.68,1629599.68,0.00,87
439,1,1629599.68,1629599.68,0.00,87
440,1,1629599.68,1631399.68,1800.00,88
441,1,1631399.68,1631399.68,0.00,88
457,1,1631399.68,1631399.68,0.00,89
468,1,1631099.68,1631099.68,0.00,90
470,1,1631099.68,1631099.68,0.00,90
472,1,1631099.68,1631099.68,0.00,91
474,1,1631099.68,1631199.68,100.00,91
476,1,1631199.68,1631199.68,0.00,92
478,1,1631199.68,1631199.68,0.00,92
480,1,1631199.68,1631299.68,100.00,93
485,1,1631299.68,1631299.68,0.00,93
493,1,1631299.68,1631299.68,0.00,94
494,1,1631299.68,1631299.68,0.00,95
495,1,1631099.68,1631099.68,0.00,95
496,1,1631099.68,1631099.68,0.00,96
497,1,1631099.68,1631099.68,0.00,96
501,1,1631099.68,1631099.68,0.00,97
502,1,1630699.68,1630699.68,0.00,97
503,1,1630699.68,1630699.68,0.00,98
504,1,1630699.68,1630699.68,0.00,98
505,1,1630699.68,1630699.68,0.00,99
506,1,1630699.68,1630699.68,0.00,99
507,1,1630499.68,1630499.68,0.00,100
508,1,1630499.68,1630499.68,0.00,101
509,1,1630499.68,1630499.68,0.00,101
510,1,1630499.68,1630199.68,-300.00,102
511,1,1630199.68,1630199.68,0.00,102
513,1,1630199.68,1630199.68,0.00,103
515,1,1630199.68,1630199.68,0.00,103
518,1,1630199.68,1630099.68,-100.00,104
521,1,1630099.68,1630099.68,0.00,104
524,1,1630099.68,1630099.68,0.00,105
525,1,1630099.68,1630099.68,0.00,105
526,1,1630099.68,1630099.68,0.00,106
529,1,1630099.68,1630299.68,200.00,107
530,1,1630299.68,1630299.68,0.00,107
532,1,1630299.68,1630299.68,0.00,108
534,1,1630299.68,1630699.68,400.00,108
536,1,1630699.68,1630699.68,0.00,109
538,1,1630699.68,1630699.68,0.00,109
544,1,1630699.68,1630699.68,0.00,110
545,1,1630699.68,1630699.68,0.00,110
546,1,1630699.68,1631299.68,600.00,111
551,1,1631299.68,1631299.68,0.00,111
553,1,1631299.68,1631299.68,0.00,112
554,1,1631299.68,1631299.68,0.00,113
563,1,1631299.68,1631599.68,300.00,113
570,1,1631599.68,1631599.68,0.00,114
573,1,1631599.68,1631599.68,0.00,114
574,1,1631599.68,1631499.68,-100.00,115
576,1,1631499.68,1631499.68,0.00,115
583,1,1631499.68,1631499.68,0.00,116
596,1,1631499.68,1631099.68,-400.00,116
597,1,1631099.68,1631099.68,0.00,117
598,1,1631099.68,1631099.68,0.00,117
599,1,1631099.68,1631099.68,0.00,118
618,1,1631099.68,1631099.68,0.00,118
619,1,1631299.68,1631299.68,0.00,119
620,1,1631299.68,1631299.68,0.00,120
621,1,1631299.68,1631299.68,0.00,120
623,1,1631399.68,1631399.68,0.00,121
625,1,1631399.68,1631399.68,0.00,121
627,1,1631399.68,1631399.68,0.00,122
636,1,1631399.68,1631399.68,0.00,122
637,1,1631399.68,1631399.68,0.00,123
638,1,1631399.68,1631399.68,0.00,123
640,1,1631399.68,1631399.68,0.00,124
641,1,1631399.68,1631399.68,0.00,124
655,1,1631399.68,1631099.68,-300.00,125
657,1,1631099.68,1631099.68,0.00,126
659,1,1631099.68,1631099.68,0.00,126
662,1,1631099.68,1631099.68,0.00,127
663,1,1631099.68,1631099.68,0.00,127
666,1,1631099.68,1631099.68,0.00,128
680,1,1630599.68,1630599.68,0.00,128
681,1,1630599.68,1630599.68,0.00,129
682,1,1630599.68,1630599.68,0.00,129
683,1,1630599.68,1630599.68,0.00,130
684,1,1630599.68,1630599.68,0.00,130
686,1,1630699.68,1630699.68,0.00,131
696,1,1630699.68,1630699.68,0.00,132
698,1,1630499.68,1630499.68,0.00,132
699,1,1630499.68,1630499.68,0.00,133
700,1,1630499.68,1630499.68,0.00,133
701,1,1630499.68,1630499.68,0.00,134
702,1,1630499.68,1631299.68,800.00,134
705,1,1631299.68,1631299.68,0.00,135
706,1,1631299.68,1631299.68,0.00,136
707,1,1630999.68,1630999.68,0.00,136
708,1,1630999.68,1630999.68,0.00,137
709,1,1630999.68,1630999.68,0.00,137
710,1,1630699.68,1630699.68,0.00,138
711,1,1630699.68,1630699.68,0.00,138
712,1,1630699.68,1630699.68,0.00,139
713,1,1630699.68,1630599.68,-100.00,140
714,1,1630599.68,1630599.68,0.00,140
715,1,1630599.68,1630599.68,0.00,141
718,1,1630499.68,1630499.68,0.00,141
719,1,1630499.68,1630499.68,0.00,142
722,1,1630499.68,1630499.68,0.00,142
723,1,1630499.68,1630499.68,0.00,143
725,1,1630499.68,1630499.68,0.00,143
728,1,1630799.68,1630799.68,0.00,144
729,1,1630799.68,1630799.68,0.00,144
731,1,1630799.68,1630799.68,0.00,145
732,1,1630799.68,1630499.68,-300.00,146
733,1,1630499.68,1630499.68,0.00,146
734,1,1630499.68,1630499.68,0.00,147
735,1,1630499.68,1630499.68,0.00,147
738,1,1630499.68,1630499.68,0.00,148
739,1,1630499.68,1630499.68,0.00,148
751,1,1630499.68,1630499.68,0.00,149
753,1,1630499.68,1630499.68,0.00,149
758,1,1630499.68,1630299.68,-200.00,150
759,1,1630299.68,1630299.68,0.00,150
761,1,1630299.68,1630299.68,0.00,151
766,1,1630299.68,1630299.68,0.00,151
781,1,1630299.68,1629899.68,-400.00,152
787,1,1629899.68,1629899.68,0.00,153
792,1,1629899.68,1629699.68,-200.00,153
794,1,1629699.68,1629699.68,0.00,154
795,1,1629699.68,1629699.68,0.00,154
796,1,1629699.68,1629699.68,0.00,155
798,1,1629699.68,1629699.68,0.00,155
799,1,1629699.68,1629399.68,-300.00,156
800,1,1629399.68,1629399.68,0.00,156
801,1,1629399.68,1629399.68,0.00,157
802,1,1629399.68,1629399.68,0.00,158
816,1,1629399.68,1629399.68,0.00,158
817,1,1629399.68,1629399.68,0.00,159
818,1,1629599.68,1629599.68,0.00,159
820,1,1629599.68,1629599.68,0.00,160
821,1,1629599.68,1629599.68,0.00,160
823,1,1629599.68,1629599.68,0.00,161
826,1,1629599.68,1629599.68,0.00,161
827,1,1629699.68,1629699.68,0.00,162
829,1,1629899.68,1629899.68,0.00,162
831,1,1629899.68,1629899.68,0.00,163
832,1,1629899.68,1629899.68,0.00,163
835,1,1629899.68,1629899.68,0.00,164
838,1,1629899.68,1629899.68,0.00,165
840,1,1629599.68,1629599.68,0.00,165
